name,source,gender,wikidata,type
Adelheid-Reinbold-Hof,wikidata,F,Q354706,way
Adelheidstraße,wikidata,F,Q57645,way
Adolfinenstraße,wikidata,F,Q98433936,way
Agnes-Asche-Weg,wikidata,F,Q394448,way
Almstadtweg,wikidata,F,Q94771520,way
Anna-Klähn-Straße,wikidata,F,Q111703481,way
Anna-Siemsen-Weg,wikidata,F,Q108398,way
Anna-Turgonska-Anger,wikidata,F,Q98345076,way
Anna-Zammert-Straße,wikidata,F,Q563673,way
Anna-von-Borries-Straße,wikidata,F,Q560462,way
Anne-Frank-Weg,wikidata,F,Q4583,way
Anne-Stache-Allee,wikidata,F,Q107677053,way
Annemarie-Hoffmann-Weg,wikidata,F,Q107677074,way
Annette-Kolb-Straße,wikidata,F,Q71112,way
Anni-Rath-Weg,wikidata,F,Q97822008,way
Antonia-Agafonowa-Straße,wikidata,F,Q97361530,way
Astrid-Lindgren-Straße,wikidata,F,Q55767,way
Auguste-Ravenstein-Weg,wikidata,F,Q6520821,way
Augustenstraße,wikidata,F,Q62068,way
Barbara-Boehme-Weg,wikidata,F,Q807359,way
Berta-Makowski-Anger,wikidata,F,Q98345332,way
Berta-Weiß-Weg,wikidata,F,Q98345411,way
Bertastraße,wikidata,F,Q106976040,way
Bertha-von-Suttner-Platz,wikidata,F,Q18456,way
Bette-Graham-Straße,wikidata,F,Q447773,way
Böhlaustraße,wikidata,F,Q78239,way
Breitzkeweg,wikidata,F,Q766175,way
Brunhildenweg,wikidata,F,Q230639,way
Cäcilienstraße,wikidata,F,Q105976,way
Cécile-Huk-Ring,wikidata,F,Q98280473,way
Charlottenstraße,wikidata,F,Q98280635,way
Christine-Hardt-Straße,wikidata,F,Q42301646,way
Clara-Zetkin-Weg,wikidata,F,Q75823,way
Colshornweg,wikidata,F,Q100071181,way
Cora-Berliner-Weg,wikidata,F,Q108089,way
Curiehof,wikidata,F,Q7186;Q7504,way
Degenerweg,wikidata,F,Q111728691,way
Denickeweg,wikidata,F,Q100077563,way
Dora-Gerson-Straße,wikidata,F,Q74047632,way
Doris-Krammling-Jöhrens-Weg,wikidata,F,Q109180082,way
Dorotheenstraße,wikidata,F,Q231876,way
Droste-Hülshoff-Weg,wikidata,F,Q57307,way
Eleonorenstraße,wikidata,F,Q65304,way
Elfriede-Döler-Weg,wikidata,F,Q1328607,way
Elfriede-Paul-Allee,wikidata,F,Q108023,way
Elisabeth-Granier-Hof,wikidata,F,Q1329947,way
Elisabeth-Hoffmeier-Weg,wikidata,F,Q1329988,way
Elisabeth-Müller-Platz,wikidata,F,Q85507451,way
Elisabeth-Selbert-Brücke,wikidata,F,Q75976,way
Elisabethstraße,wikidata,F,Q97823323,way
Elise-Meyer-Allee,wikidata,F,Q98295093,way
Elke-Mühlbach-Weg,wikidata,F,Q97059716,way
Ella-Seeling-Weg,wikidata,F,Q97464671,way
Elly-Beinhorn-Straße,wikidata,F,Q63643,way
Elsa-Brändström-Straße,wikidata,F,Q469673,way
Elsa-Kruse-Straße,wikidata,F,Q111736874,way
Elsa-Winokurow-Weg,wikidata,F,Q98793066,way
Else-Ury-Weg,wikidata,F,Q316818,way
Emma-Frede-Weg,wikidata,F,Q19508289,way
Emma-Vogel-Weg,wikidata,F,Q98205836,way
Emmy-Danckwerts-Straße,wikidata,F,Q1338957,way
Emmy-Lanzke-Weg,wikidata,F,Q40435018,way
Emmy-Noether-Allee,wikidata,F,Q7099,way
Erika-Pfingsten-Straße,wikidata,F,Q97979065,way
Erika-Wedekind-Weg,wikidata,F,Q91728,way
Erna-Blencke-Weg,wikidata,F,Q21549437,way
Erna-Mohr-Straße,wikidata,F,Q1356095,way
Erna-Winkelhoff-Straße,wikidata,F,Q97713507,way
Fanny-Hensel-Weg,wikidata,F,Q57286,way
Freda-Niemann-Straße,wikidata,F,Q16740930,way
Fridastraße,wikidata,F,Q98006511,way
Frieda-Duensing-Weg,wikidata,F,Q1456321,way
Friederikenplatz,wikidata,F,Q237990,way
Friesenstraße,wikidata,F,Q55721605,way
Gabriele-von-Glasow-Weg,wikidata,F,Q63485274,way
Gertrud-Bäumer-Weg,wikidata,F,Q71416,way
Gertrud-Greising-Weg,wikidata,F,Q111754163,way
Gertrud-Knebusch-Straße,wikidata,F,Q6505677,way
Gertrude-Elion-Straße,wikidata,F,Q35703,way
Gloedenhof,wikidata,F,Q91347,way
Gretchenstraße,wikidata,F,Q98006137,way
Grete-Rosenberg-Wildhagen-Weg,wikidata,F,Q457978,way
Grethe-Jürgens-Straße,wikidata,F,Q1546043,way
Großkopfstraße,wikidata,F,Q98280635,way
Hanna-Neuse-Straße,wikidata,F,Q107710913,way
Hannah-Arendt-Platz,wikidata,F,Q60025,way
Hannah-Arendt-Weg,wikidata,F,Q60025,way
Hannelore-Kunze-Straße,wikidata,F,Q97481819,way
Hedwig-Bollhagen-Straße,wikidata,F,Q109473,way
Hedwigstraße,wikidata,F,Q109194183,way
Hedwigsweg,wikidata,F,Q57520,way
Hedy-Lamarr-Straße,wikidata,F,Q49034,way
Helen-Keller-Weg,wikidata,F,Q38203,way
Helenenstraße,wikidata,F,Q97391987,way
Henriette-Gottschalk-Anger,wikidata,F,Q98363440,way
Henriettenweg,wikidata,F,Q261381,way
Hermine-Stindt-Weg,wikidata,F,Q458123,way
Hertha-Feist-Weg,wikidata,F,Q1415002,way
Herthastraße,wikidata,F,Q97823895,way
Hiltrud-Grote-Weg,wikidata,F,Q16811,way
Ida-Boie-Straße,wikidata,F,Q1894950,way
Inge-Machts-Weg,wikidata,F,Q522749,way
Inge-Meier-Hof,wikidata,F,Q108837343,way
Ingeborg-Drewitz-Gang,wikidata,F,Q71381,way
Ingeborg-Steinohrt-Weg,wikidata,F,Q1506833,way
Ira-Wolkowa-Weg,wikidata,F,Q110181427,way
Irma-Pickerd-Weg,wikidata,F,Q107711649,way
Irmgard-Woldering-Straße,wikidata,F,Q1673025,way
Irmhild-Warweg-Straße,wikidata,F,Q1361430,way
Jina-Mahsa-Amini-Platz,wikidata,F,Q113994656,way
Julienne-Trouet-Platz,wikidata,F,Q98216019,way
Karla-Schmidt-Straße,wikidata,F,Q98684175,way
Karolinenstraße,wikidata,F,Q76948,way
Käte-Werner-Straße,wikidata,F,Q97482045,way
Katharina-Behrend-Weg,wikidata,F,Q12053121,way
Katharina-Petersen-Weg,wikidata,F,Q1735968,way
Käthe-Kollwitz-Weg,wikidata,F,Q142472,way
Käthe-Steinitz-Straße,wikidata,F,Q6567261,way
Käthe-Vordtriede-Weg,wikidata,F,Q1795558,way
Katrin-Sello-Weg,wikidata,F,Q1736752,way
Kirchnerweg,wikidata,F,Q87358,way
Lieselotte-Rogge-Straße,wikidata,F,Q97482186,way
Lilli-Friedemann-Ring,wikidata,F,Q19513371,way
Lina-Hähnle-Weg,wikidata,F,Q1825635,way
Lisbethstraße,wikidata,F,Q98006894,way
Loebensteinstraße,wikidata,F,Q105643985,way
Lola-Fischel-Straße,wikidata,F,Q6467769,way
Lotte-Gleichmann-Weg,wikidata,F,Q1294048,way
Louise-Schroeder-Straße,wikidata,F,Q104581,way
Luise-Blume-Straße,wikidata,F,Q110303104,way
Luise-Kaschnitz-Weg,wikidata,F,Q62365,way
Luise-Westkirch-Weg,wikidata,F,Q19218409,way
Luisenstraße,wikidata,F,Q233203,way
Lützerodestraße,wikidata,F,Q1728267,way
Malwine-Enckhausen-Weg,wikidata,F,Q94747065,way
Manele-Süss-Weg,wikidata,F,Q107718116,way
Margarete-Hofmann-Weg,wikidata,F,Q18024855,way
Margarethe-Gehrig-Weg,wikidata,F,Q107718137,way
Margarethe-und-Max-Rüdenberg-Platz,wikidata,F,Q98216102,way
Margot-Büttner-Weg,wikidata,F,Q63486215,way
Margot-Matthias-Straße,wikidata,F,Q98381733,way
Maria-Montessori-Weg,wikidata,F,Q131117,way
Maria-Suszyńska-Bartmann-Weg,wikidata,F,Q98280492,way
Marianne-Adrian-Weg,wikidata,F,Q98603257,way
Marianne-Baecker-Allee,wikidata,F,Q1495270,way
Marie-Jahn-Straße,wikidata,F,Q17747751,way
Marie-Jorns-Ring,wikidata,F,Q1714566,way
Marienstraße,wikidata,F,Q61452,relation
Marion-Donovan-Straße,wikidata,F,Q543278,way
Martel-Schwichtenberg-Straße,wikidata,F,Q1646186,way
Martha-Wissmann-Platz,wikidata,F,Q98280685,way
Marthastraße,wikidata,F,Q97460223,way
Mary-Wigman-Weg,wikidata,F,Q77127,way
Meitnerstraße,wikidata,F,Q56189,way
Mimmi-Fuhlrott-Gang,wikidata,F,Q74023238,way
Minna-von-Mädler-Weg,wikidata,F,Q1537301,way
Modersohnweg,wikidata,F,Q234370,way
Niki-de-Saint-Phalle-Promenade,wikidata,F,Q168704,way
Orli-Wald-Allee,wikidata,F,Q111075,way
Paula-Nordhoff-Straße,wikidata,F,Q100292922,way
Peterswaldstraße,wikidata,F,Q76649686,way
"Plaza de Rosalia",wikidata,F,Q464264,way
Rauschenplatstraße,wikidata,F,Q110315015,way
Reicherthof,wikidata,F,Q111075,way
Ricarda-Huch-Weg,wikidata,F,Q60785,way
Rosa-Luxemburg-Straße,wikidata,F,Q7231,way
Rosalind-Franklin-Allee,wikidata,F,Q7474,way
Rose-Senger-Straße,wikidata,F,Q74055592,way
Sabine-Gerke-Weg,wikidata,F,Q97500675,way
Schüttlerstraße,wikidata,F,Q110945343,way
Selma-Lagerlöf-Weg,wikidata,F,Q44519,way
Sophie-Küppers-Straße,wikidata,F,Q1592391,way
Sophie-Sichart-Weg,wikidata,F,Q19631161,way
Sophienstraße,wikidata,F,Q57224,way
Stanisława-Kamińska-Straße,wikidata,F,Q98280508,way
Stéphanie-Kuder-Straße,wikidata,F,Q98280523,way
Stolzenbergring,wikidata,F,Q110315447,way
Suttnerweg,wikidata,F,Q18456,way
Thea-Bähnisch-Weg,wikidata,F,Q1405485,way
Theda-Behme-Straße,wikidata,F,Q63485822,way
Traute-Martin-Weg,wikidata,F,Q107805617,way
Vera-Rubin-Straße,wikidata,F,Q234888,way
Victorine-Endler-Weg,wikidata,F,Q22691777,way
Viktoriastraße,wikidata,F,Q116728,relation
Weinschenkweg,wikidata,F,Q107806154,way
Wilhelmine-Witte-Straße,wikidata,F,Q28943561,way
Willestraße,wikidata,F,Q1897521,way
Wilma-Conradi-Weg,wikidata,F,Q23560530,way
Yvette-Amiot-Weg,wikidata,F,Q98367298,way
Yvonne-Georgi-Allee,wikidata,F,Q97955,way
Abbestraße,wikidata,M,Q76359,way
Abelmannstraße,wikidata,M,Q97382794,way
Achenbachstraße,wikidata,M,Q76416,way
Adalbert-Stifter-Straße,wikidata,M,Q168542,way
Adenauerallee,wikidata,M,Q2492,way
Adickesstraße,wikidata,M,Q1358139,way
Adolf-Ey-Straße,wikidata,M,Q15456508,way
Adolf-Falke-Weg,wikidata,M,Q361507,way
Adolf-Lücke-Weg,wikidata,M,Q97500512,way
Adolfstraße,wikidata,M,Q313771,relation
Ahrbergstraße,wikidata,M,Q1465482,way
Albert-Niemann-Straße,wikidata,M,Q106378,way
Albert-Schweitzer-Hof,wikidata,M,Q49325,way
Albertstraße,wikidata,M,Q152245,way
Albrecht-Schaeffer-Weg,wikidata,M,Q108677,way
Albrechtstraße,wikidata,M,Q44394161,way
Alemannstraße,wikidata,M,Q1728808,way
Alexander-Aue-Weg,wikidata,M,Q94871542,way
Alexanderstraße,wikidata,M,Q6694,way
Alfred-Hoehne-Weg,wikidata,M,Q98163734,way
Alfred-Wilm-Straße,wikidata,M,Q78244,way
Allmersstraße,wikidata,M,Q74511,way
Almrothstraße,wikidata,M,Q97393710,way
Alpershof,wikidata,M,Q18624074,way
Alvenslebenstraße,wikidata,M,Q101767,way
Amundsenweg,wikidata,M,Q926,way
Andersenstraße,wikidata,M,Q5673,way
Andreaestraße,wikidata,M,Q761678,way
Andreas-Hermes-Platz,wikidata,M,Q66634,relation
Antoniusweg,wikidata,M,Q167477,way
Anzengruberstraße,wikidata,M,Q93718,way
Appelstraße,wikidata,M,Q19958854,way
Arensborgstraße,wikidata,M,Q15433686,way
Arndtstraße,wikidata,M,Q57351,way
Arnimstraße,wikidata,M,Q70988,way
Arnoldstraße,wikidata,M,Q22079955,way
Arthur-Gerlt-Weg,wikidata,M,Q709497,way
Arthur-Menge-Ufer,wikidata,M,Q106011,way
Asplundweg,wikidata,M,Q312070,way
Aubryweg,wikidata,M,Q2830924,way
Aufhäuserstraße,wikidata,M,Q95488,way
August-Baumgarte-Gang,wikidata,M,Q31508072,way
August-Holweg-Platz,wikidata,M,Q761939,way
August-Madsack-Straße,wikidata,M,Q762925,way
August-Mundt-Weg,wikidata,M,Q35541460,way
Bachstraße,wikidata,M,Q1339,way
Backhausenweg,wikidata,M,Q19391543,way
Bailleuxweg,wikidata,M,Q99540746,way
Baldeniusstraße,wikidata,M,Q23559777,way
Bandelstraße,wikidata,M,Q87997,way
Bangemannweg,wikidata,M,Q111728192,way
Baringstraße,wikidata,M,Q96382,way
Bartold-Knaust-Straße,wikidata,M,Q15785669,way
Bauleweg,wikidata,M,Q14906396,way
Baumbachstraße,wikidata,M,Q65888,way
Baumgartenstraße,wikidata,M,Q98456063,way
Baxmannweg,wikidata,M,Q111728209,way
Bebelstraße,wikidata,M,Q76520,way
Beethovenstraße,wikidata,M,Q255,way
Behaimweg,wikidata,M,Q44838,way
Behnsenstraße,wikidata,M,Q111728264,way
Behnstraße,wikidata,M,Q41662030,way
Behringweg,wikidata,M,Q76425,way
Beneckeallee,wikidata,M,Q41636080,way
Bennostraße,wikidata,M,Q61625,way
Benzweg,wikidata,M,Q40224,way
Berckhusenstraße,wikidata,M,Q15435804,way
Berdingstraße,wikidata,M,Q24064138,way
Bergiusstraße,wikidata,M,Q76614,way
Bergmannstraße,wikidata,M,Q24039009,way
Berlageweg,wikidata,M,Q318816,way
Bernadotteallee,wikidata,M,Q212163,way
Bernardisstraße,wikidata,M,Q488705,way
Bernd-Strauch-Weg,wikidata,M,Q117716370,way
Bernhard-Caspar-Straße,wikidata,M,Q17521565,way
Bernhard-Jördens-Weg,wikidata,M,Q108816198,way
Bernstorffweg,wikidata,M,Q215462,way
Bernwardstraße,wikidata,M,Q97245,way
Berthold-Lange-Straße,wikidata,M,Q97978857,way
Bertramstraße,wikidata,M,Q111728296,way
Besselstraße,wikidata,M,Q75845,way
Bessemerstraße,wikidata,M,Q310201,way
Beuermannstraße,wikidata,M,Q2665719,way
Beulshausenweg,wikidata,M,Q24066413,way
Bidonisstraße,wikidata,M,Q24066761,way
Billungstraße,wikidata,M,Q550803,way
Bindingweg,wikidata,M,Q96026,way
Bischof-von-Ketteler-Straße,wikidata,M,Q626805,way
Bismarckstraße,wikidata,M,Q8442,way
Bleidornstraße,wikidata,M,Q19506598,way
Blücherstraße,wikidata,M,Q153522,way
Blumenhagenstraße,wikidata,M,Q1424920,way
Blumhardthof,wikidata,M,Q64968,way
Blumhardtstraße,wikidata,M,Q64968,way
Böckerstraße,wikidata,M,Q1871559,way
Böcklinplatz,wikidata,M,Q123071,way
Bödekerstraße,wikidata,M,Q1613085,relation
Bodenstabstraße,wikidata,M,Q41772262,way
Bodenstedtstraße,wikidata,M,Q77645,way
Boelckestraße,wikidata,M,Q57716,way
Bogenstraße,wikidata,M,Q108319016,way
Böhmerstraße,wikidata,M,Q76243,way
Bohnhorststraße,wikidata,M,Q108319038,way
Boiestraße,wikidata,M,Q215931,way
Bölschestraße,wikidata,M,Q69727,way
Bömelburgstraße,wikidata,M,Q2417426,way
Bomhauerstraße,wikidata,M,Q61696190,way
Bonatzweg,wikidata,M,Q67612,way
Bonhoefferstraße,wikidata,M,Q76326,way
Bonifatiusplatz,wikidata,M,Q160445,way
Borchersstraße,wikidata,M,Q97822644,way
Borgentrickstraße,wikidata,M,Q1132080,way
Börnestraße,wikidata,M,Q213595,way
Bornhof,wikidata,M,Q58978,way
Borriesstraße,wikidata,M,Q106334,way
Borsigweg,wikidata,M,Q65271,way
Börsmannstraße,wikidata,M,Q1346802,way
Boschhof,wikidata,M,Q76606,way
Boßdorfstraße,wikidata,M,Q105047,way
Bothmerstraße,wikidata,M,Q97384173,way
Böttcherstraße,wikidata,M,Q17352707,way
Brackebuschstraße,wikidata,M,Q19959050,way
Brahmsstraße,wikidata,M,Q7294,way
Brandensteinstraße,wikidata,M,Q19284903,way
Brandestraße,wikidata,M,Q760982,way
Braunstraße,wikidata,M,Q764241,way
Brehmhof,wikidata,M,Q155112,way
Brehmstraße,wikidata,M,Q155112,way
Breithauptstraße,wikidata,M,Q1696632,way
Brentanostraße,wikidata,M,Q57235,way
Brinckmanstraße,wikidata,M,Q78180,way
Bronsartstraße,wikidata,M,Q73030,way
Broyhanstraße,wikidata,M,Q1132083,way
Brucknerring,wikidata,M,Q81752,way
Brüggemannhof,wikidata,M,Q108319119,way
Brunekamp,wikidata,M,Q19959082,way
Bruno-Valentin-Weg,wikidata,M,Q993894,way
Buchnerstraße,wikidata,M,Q43917,way
Buddeweg,wikidata,M,Q1613184,way
Bugenhagenstraße,wikidata,M,Q77260,way
Bülowstraße,wikidata,M,Q63023,way
Bunnenbergstraße,wikidata,M,Q111728565,way
Bunsenstraße,wikidata,M,Q71031,way
Burckhardtstraße,wikidata,M,Q86324,way
Bürgermeister-Fink-Straße,wikidata,M,Q1555793,way
Bürgermeister-Pott-Weg,wikidata,M,Q61697148,way
Bürgermeister-Stümpel-Weg,wikidata,M,Q41535381,way
Bürgerstraße,wikidata,M,Q213675,way
Bussestraße,wikidata,M,Q1504630,way
Bussilliatweg,wikidata,M,Q98582276,way
Büssingweg,wikidata,M,Q326500,way
Butanstraße,wikidata,M,Q1144083,way
Büttnerstraße,wikidata,M,Q41557235,way
Callinstraße,wikidata,M,Q23560453,way
Cambridgeweg,wikidata,M,Q313771,way
Canarisweg,wikidata,M,Q57129,way
